"","HPC1401","HPC1403","HPC1406","HPC1408","HPC1409","HPC1410","HPC1412","HPC1413","HPC1414","HPC1415","HPC1416","HPC1417","HPC1418","HPC1419","HPC1420","HPC1421","HPC1422","HPC1423","HPC1425","HPC1426","HPC1428","HPC1429","HPC1430","HPC1417KNZ"
"432b385acccdf0e48a41ac2be91cad7e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"435c503719560e757317f6da116c2533",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"44be4c7bdd680e21b5d6aa4223ed66a9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"44f18c2a1a9016f84975520719122199",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0
"4542ef6a2daa70f5270ec346848c7d17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"459a6e098a853bfafb36f1e8a3c2dd33",0,0,0,0,130,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
"4723beab408940fc54f4cd28a8ce2661",15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"479c85bd49b21ba6a5a00d7b13766555",0,0,0,0,0,0,0,0,8,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"47b7cb4025b7d3b0efe74271c4df5ee5",0,0,23,0,0,0,2,0,0,1,0,0,0,19,0,0,0,0,52,0,0,0,0,0
"489855189d9686629879eb3ede9486f8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489ee2592217f15eced180d1d960d859",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48d9b9c5f3308a02da9f1eab676314e4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"498360bf0e3bea63817172cc8e57f786",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,12,0,0
"499b187b1bfd265489cfda4b4cb4d8c7",0,11,44,0,0,0,12,1,0,1,0,0,0,36,1,0,0,6,0,0,0,13,24,0
"4b2d1ff155ce01a440faa18da410b7ae",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4c3f744326739cfcb797c290083783e5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4d06fd961ccde5a149ee9949629301a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
"4d48d7ff5be648dbff5d977be48b6c8e",5,0,0,0,0,0,0,0,0,8,0,0,10,0,0,5,2,5,11,0,0,0,0,0
"4d7192c5a137cf7ed293a21a21043126",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4da78b69df4941cda0b3c8acc6c55eeb",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f5678f16e6e19f7f6638d8f5dd476ef",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f8c8e41fa14dc280582fc9bd26bcbab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,250,0,0,0,0,0,0
"4f944790b119a24e422e0c02101f575e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
