"","HPC1463","HPC1464","HPC1465","HPC1466","HPC1467","HPC1468","HPC1471","HPC1472","HPC1473","HPC1474","HPC1475","HPC1476","HPC1477","HPC1478","HPC1479","HPC1480","HPC1483","HPC1486","HPC1487","HPC1490","HPC1483KNZ"
"4aa7480b0c8992101bbc99f37d87283a",0,5,15,0,0,0,0,0,207,6,85,0,0,0,188,0,428,0,0,0,422
"4b045fdd81a50cbe7916c2793381ce4d",22,0,0,4,5,2,0,0,0,22,108,4,16,11,46,7,0,53,7,108,0
"4b3c09a4e6cddd47028cec2a036491aa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1
"4c3f744326739cfcb797c290083783e5",2,0,19,0,0,0,0,4,1,0,1,18,0,7,16,17,3,18,11,7,2
"4c85f6eb8b5388ee4a46c2cb2719daa4",0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4ce7089bda87b6cfb446630c89ee86ad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"4d48d7ff5be648dbff5d977be48b6c8e",0,0,0,0,0,5,12,11,0,5,0,9,6,0,1,0,0,0,0,0,0
"4d79feabc5bbc6227b7cda98be35a465",0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d7fd6e73d69ce59e37790cc24c73bde",0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f8c8e41fa14dc280582fc9bd26bcbab",0,61,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51194b8233acaff275c41bf94ca2c735",3,17,18,0,28,5,24,1,7,20,42,7,30,12,6,66,3,0,14,35,5
"51908ef8c74539aa92b2b9786e011934",27,3,3,0,0,33,0,2,44,2,15,8,10,220,15,127,3,8,4,1,2
"53d0bf0a5b4a7ceade38789bbe227c24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
"55062e73de4a329a87628ff9f37b1ad7",593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,138
"575b472a8f9b077a8b9186957cd23741",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
"57bdaf7acf546676afff67df37e9a1b5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"584523baaee1b22d9209a9e6763584b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"5995e644fe223f3ae9031b8851811d15",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b4d1d380ab7238543dd7b28aefb68e4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"5bfc0ebaf0c79a162e21bf83b29f6453",0,21,12,15,9,98,5,7,122,91,80,84,36,30,86,5,27,30,3,15,37
"5c35358f9cf2811d7c01d6ae6338ac4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"5c754ef9ac193585d3f40e898f37fa6d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"5da6db7d5475532af1e5e5bffb5c75f1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,50,2
"5e0b1e533d803d7c69e76c2c42359773",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"5f1d0897425263d44b7b2059d82493f0",0,0,1,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0
"5f9270e492afaa0d07c4de501ea92b69",0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"6038cbf29d9df32a9c04c69b9aec44cb",0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
"603be18164bde09818d5345c3442ed43",0,0,0,0,0,0,0,0,2,4,16,0,0,9,5,3,3,3,0,1,0
"60c3d644187c0e3533afb230533308b5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"618c0803d74e6f8a76a9ee4b22c57763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0
"62e791c27fae2dbd393e2d3b686aff73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"64c217e69e7609aab725bda47022f406",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"64c5761da4a82f87b6091e02b1791f15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"64fd6a50605bfdbb323108cc6342a4f5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"652177b74e1009d99f81843a80698de3",0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,2,0,4,0,0,0
"6543568ae01fa1604bc331dd56a0ef35",0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"65a82a5c911961c932169c0e220e77b2",0,0,6,1,1,0,0,22,2,10,1,8,1,5,0,7,0,23,0,0,0
"65c3609dc0d57f9ea75f577ce7e1f567",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,13,3,0
"67dbb76f582ee5bf148f1cbd5681492d",0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,2,0,0,0,0,0
"69ef3e1f427563b51b19b178802a3071",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ad2ee8be29e0eeddf3efc1d367c9efb",0,0,0,1,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
"6b4e3d95d4a4294081732c7a07a93d6e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6e3d0f883223548febd78a555714e15c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
"6fc8fdf6401e53683cc2fe1e62cfc6d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6
"6fd7e0b61b4b94ee703ea43289c7b5a3",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6fd8f4e7c7ac35e1851346129fee9c51",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"70f846e42de089100338ccc4bebd3c59",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71e60ecb6839ff98430e470c3eac5462",0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"71f95ed8154a369c4db5c66cbb0f7b36",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"7258c86b16370d40379950c641bcd0fb",5,0,0,0,0,12,0,0,3,0,14,0,0,0,1,0,0,6,0,0,0
"72663adb78a1b10cc8deaeb60fe50f8e",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7289534ec800d59f66d4194a0ab076ed",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"7341a868b2cf72ab81d78d6a0e907f7a",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"74e85b7b8803b9e21cc8fa2718cf9185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"75d645539b3350b78d2b93cf490e7e53",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0
"75fc6d9895fa40375fb4f40db931ba39",1,0,0,0,0,2,0,0,11,4,12,57,0,14,4,4,2,8,0,7,0
"79188b9060ef8d3f67919ba31dfa29bd",0,15,0,163,10,11,0,23,70,29,2,0,0,0,0,265,157,56,0,0,150
"7aa9b7c30b563a6e18cc7ccc783abade",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
"7ad0821f77a0f4262e6304cbafc858d6",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7c9c1abaca7e48a1a6203c52dc125f22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"7cccdf8fbe2f0acabaf78004c877b50a",0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"7e07c9eda876bea7f192c2e506799924",0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0
"7f094c5f4b043e9c4faf10f3e54732a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"7f1f4f62310993992280e13982a7df35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"7f592e11d8b7e782f5718bf51bbe5bad",60,26,61,0,0,20,70,2,21,7,42,20,2,8,106,21,0,5,24,151,0
"808b2084c548db053486ba67b18f4a31",0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"80a83ef22def6d2997e09c497f52fdb9",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0
"80de25715ab3930d4ca22131f051a4f8",0,7,2,2,4,1,3,1,0,2,0,12,0,7,0,2,0,0,0,8,0
"814f8ed179c556d7ebd10144ed2a7b79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"82d6d3ac7538e2c371fd436c703630a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"836a393c7cdc66c667719976f6537d48",0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"83c4cb53404548c0bcd454ba4ded1bd7",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"843fca513bfbbe5e265d8a359f270ee4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
