"","HPC1491","HPC1492","HPC1493","HPC1494","HPC1495","HPC1496","HPC1497","HPC1498","HPC1500","HPC1501","HPC1502","HPC1503","HPC1504","HPC1506","HPC1507","HPC1512","HPC1515","HPC1517","HPC1518","HPC1519","HPC1520","HPC1518KNZ"
"2628bc3ce0449352d3090092eba9ebc8",3,0,2,6,0,0,0,0,3,1,31,1,7,3,10,11,0,0,14,0,11,17
"26f339506d88e7b057613ee1c5bc510d",3,0,0,0,2,0,10,16,0,0,0,5,2,0,1,0,0,0,0,0,0,0
"2783244797d962c0a76531e2de84d58f",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"27d620edd7ea03a5123fb108e06f0e8f",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"2849ae4e04864aa470fcafd5f8c86473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
"2884f446b7bb73b0f419f130e9aa55b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"294c35db4390d1600746650117e063d0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29b7cd6352becc322414fa5fe983e206",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"29d9af249d83e5fc67054ff02cbce1c4",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"2a2b8b0dcd151e3cded4e9a0c6c8525c",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"2ba90b0be01177328bfba05450b59ed7",0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,5,0,0,2,0,0,0
"2c789a10c166cbc0f551f943a8896f43",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2dfe2d6bdb57a8e6ca38db233f8cb4bc",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2e756e9be0fb920d489d2245e62d3248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"2e9647a26f7602fa1bfeb52e4b5f74f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2f37611fbd002402d0d7bc5694578944",0,18,16,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"2f49610f9b40af4a510bd644f3efad4b",2,0,0,0,4,0,0,5,2,10,0,0,0,0,2,0,0,1,3,0,1,8
"2f8d47332b12dd771e9fefc4167c4680",0,0,0,0,0,20,304,0,0,0,7,0,0,0,0,0,0,384,0,0,0,0
"302c25410e905a32fac3f59019a52c7a",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"305e0746bf5305f73f26233d14f17c79",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"3088a14eb98815ddfc6829219fe2ece3",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30e3d72fcbd951def5a57611527d2a91",0,0,0,0,0,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"314413072bf4299e0142a6bb0d0b0c61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
"325553effac2caa0a5684f0650893e49",0,6,0,0,0,0,0,0,0,0,0,0,79,0,0,11,0,0,0,0,0,0
"3262a7e70e1dd963244d1d00a2b9281a",0,48,3,31,2,0,6,0,1,0,5,0,0,34,0,9,0,2,14,0,0,16
"3264c9b36d4b3c3fec30f9100233511c",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"3424612315ed0a562bbdd7a35c5591e1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"356c928ad2699d60e88ef8385d09af43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"35c84552eab09fbd4ad5b56782e29bac",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"3763617a6117adc2b98525dea5f83538",0,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,2,0,0
"37a735a589da0a94a2ba7b17f800101d",0,0,0,0,0,0,7,0,0,3,9,0,0,0,0,5,0,0,11,2,2,0
"38af1e662318cf6e431fdd84d3af27d0",0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0
"38ccc9b4b8603b38469c32ab1a7a2c24",0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,2,5,0,1,0
"3903dfd1b6cb63d6edd12f208615ccf3",206,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"3932d0e46a4d42546a84688e5b794142",2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3947235d5c0541b28bcab25fcfcf3cab",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3990019a6040874110a72374eb15b139",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"39b689c36edaaa5d342c460d466fcfe2",0,0,0,30,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b180b5dd5fed6eac59f8908b236b689",0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16,0,0,6
"3c3e0c0c8f467aed0a830bd407b0a3e2",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3c3fd1b0bbd9f4e23e6d0abb65346a7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3c9c65d046b33b3edaedfe03cd1de7e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"3d1bb8aed46d91b0b5fc1ba9a9af2f48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"3d47bf23798d66c7c6c726b136df5e31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"3dcfdd1a8093f6c5a49eed29bd83ce45",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e57497044f82a163a49f3f60b7b3dc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"3ed42a2a6a97d92ca05a9def60ae129a",6,0,0,0,0,1,0,7,0,0,0,0,0,0,8,0,0,0,0,3,11,0
"400933aaafc7f52e4ee194cba7712b35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41152e8a5f5f452a0b48ae0be59bbf64",38,0,2,0,0,0,3,11,6,3,0,0,0,0,28,12,9,0,0,0,6,0
"41611cc955196b78440f38958466937f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,41
