"","HPC1581","HPC1583","HPC1584","HPC1585","HPC1586","HPC1587","HPC1589","HPC1591","HPC1592","HPC1594","HPC1596","HPC1597","HPC1599","HPC1600","HPC1601","HPC1602","HPC1603","HPC1605","HPC1607","HPC1608","HPC1609","HPC1610"
"355467c1358ae54626efbeb1ede7dc0d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"367b579863f0e1586b6765827bed9d5e",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"37a735a589da0a94a2ba7b17f800101d",16,1,0,1,2,1,7,9,0,6,1,0,0,2,0,4,0,9,20,5,13,0
"384e011b832c43c9b451701329a5a17c",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"385a1ba4cef54506cb0123b81c9d802a",57,0,12,4,7,6,32,3,0,0,0,1,0,9,256,93,0,10,0,2,8,0
"38ccc9b4b8603b38469c32ab1a7a2c24",0,0,0,0,27,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0
"397079a84d129c629cecbb75d40b80b4",0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
"3990019a6040874110a72374eb15b139",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3a579e8e269f7d3f67a4a99df65de414",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"3a5eac2e85d73708a3ad4ba09f5a4034",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"3b6e6d03c26addb29bc6157c38b2e536",0,0,0,0,0,0,0,0,3,0,4,0,0,25,0,0,0,0,0,0,0,0
"3c3e0c0c8f467aed0a830bd407b0a3e2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e12b32f0a4960717c6eeac4d37d0f56",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ed42a2a6a97d92ca05a9def60ae129a",0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,5,0,2,0,0,0
"403ebbb8b4f528045fe1a73f4cbeedf2",16,0,7,5,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4094b513acb17b04870a99a5d74e4c3d",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"41152e8a5f5f452a0b48ae0be59bbf64",0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,4,0,0,14,0,0,1
"41611cc955196b78440f38958466937f",0,6,13,5,17,1,0,51,19,0,0,5,0,0,2,0,0,2,7,3,5,0
"41dcffb21d6fa07760f8602154567510",0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,2,0,0,0
"4243d90941dd5826c6601bd0d628e752",0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42f44f2edb9c0e7410229cd2b8495308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"44d03b7de750db6268d79bf3b7b3f565",0,0,0,11,0,0,0,1,0,4,0,0,7,0,0,0,0,0,4,98,49,0
"4661c4c5ce90dcc1067d11eb6a6cbaa4",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4708ba7577269496637a3524a71e3057",0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"479c85bd49b21ba6a5a00d7b13766555",2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"47b0a4c9c653312dfaa86146ae9e07b6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"489855189d9686629879eb3ede9486f8",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48d427547983c8bc714a6c7a0a9ce82c",6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499b187b1bfd265489cfda4b4cb4d8c7",0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"49c74be7fb4009b028640abfa37a87b4",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
