,Kingdom,Phylum,Class,Order,Family,Genera,Species
353,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,
355,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__unidentified,g__unidentified,s__unidentified
362,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__unidentified,s__unidentified
363,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,
364,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
365,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,s__unidentified
367,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
368,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
370,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,
374,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
376,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,s__unidentified
379,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
380,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,
381,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,
383,k__Fungi,p__Ascomycota,,,,,
384,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
385,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
387,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,,,
388,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
389,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__unidentified
390,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,,,
391,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Tremellodendropsidales,f__unidentified,g__unidentified,s__unidentified
392,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
396,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
398,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Mycena,
399,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
