,Kingdom,Phylum,Class,Order,Family,Genera,Species
259,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,s__unidentified
260,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Rhytismatales,f__Rhytismataceae,,
262,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Deconica,
263,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,
265,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__unidentified
266,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
267,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
277,k__Fungi,p__Ascomycota,c__Pezizomycotina_cls_Incertae_sedis,o__Pezizomycotina_ord_Incertae_sedis,f__Pezizomycotina_fam_Incertae_sedis,g__Ciliophora,s__unidentified
278,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,
279,k__Fungi,p__Ascomycota,,,,,
280,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__unidentified,g__unidentified,s__unidentified
287,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,
289,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,s__Bulleribasidium_variabile
292,k__Fungi,,,,,,
293,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,,,
297,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,,,
298,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
299,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Platygloeales,,,
300,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,,
302,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Dominikia,s__unidentified
303,k__Fungi,p__Ascomycota,,,,,
304,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Trichoglossum,
305,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__unidentified,g__unidentified,s__unidentified
306,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Hemileucoglossum,
308,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Xylaria,s__unidentified
310,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__unidentified,g__unidentified,s__unidentified
311,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Lepiota,
313,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
317,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__unidentified,g__unidentified,s__unidentified
318,k__Fungi,p__Basidiomycota,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
319,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,
321,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,f__Acrospermales_fam_Incertae_sedis,g__Phaeodactylium,s__Phaeodactylium_stadleri
323,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
324,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
325,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
326,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
327,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Arrhenia,
328,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,,
329,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
334,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
335,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
336,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__unidentified,g__unidentified,s__unidentified
337,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pluteaceae,g__Volvariella,
340,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
341,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
344,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,
345,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__unidentified
346,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
347,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__unidentified,g__unidentified,s__unidentified
349,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
350,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
352,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__unidentified,s__unidentified
353,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,
355,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__unidentified,g__unidentified,s__unidentified
356,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,,
362,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__unidentified,s__unidentified
363,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,
365,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,s__unidentified
366,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__unidentified,s__unidentified
367,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
368,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
370,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,
374,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
375,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
376,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,s__unidentified
378,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
379,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
380,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,
383,k__Fungi,p__Ascomycota,,,,,
384,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
385,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
386,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Cunninghamellaceae,g__Absidia,s__unidentified
388,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
390,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,,,
391,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Tremellodendropsidales,f__unidentified,g__unidentified,s__unidentified
392,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
396,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
398,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Mycena,
401,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
404,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
405,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__unidentified
406,k__Fungi,p__Ascomycota,,,,,
407,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,,
408,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
409,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
410,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Dactylella,
411,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
414,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS07,f__unidentified,g__unidentified,s__unidentified
417,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
418,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
419,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Agrocybe,
420,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,,,
421,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,,
422,k__Fungi,,,,,,
423,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Kamienskia,
424,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,
425,k__Fungi,p__Ascomycota,,,,,
428,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,,,
430,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,,
431,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Xylaria,s__unidentified
433,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
434,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,,
435,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
437,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,,,
439,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,,
440,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,,,
441,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,,,,
444,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,s__unidentified
446,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Marasmiaceae,g__Marasmius,
447,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,,
449,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
450,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
